"annotator1","annotator2","value1","value2","corpus_pos","token"
"tc374","dg338",3,3,212203,"  <The standard 's initial design environment was one where outsourcers ( organisations which contracted with other entities to provide third party customer service functions - the buyer ) used Customer Service Providers ( CSP 's , the seller or outsourcing service provider ) to provide services to end-users ( customers ) in the name of the outsourcer .>"
"tc374","dg338",1,1,843131,"  <Elections and Party Management in Britain since 1945 Professor John Ramsden The mainspring of the British political system is party , and to an unusual extent even among functioning democracies , the political battle is a party battle , fought out at elections but also in their electoral campaigning in the longer term .>"
"tc374","dg338","n/a","n/a",845489,"  <Democracy and Voting Reform in the UK by David Beetham This paper examines the ways in which we could elect our politicians according to democratic principles and practice and assesses the strengths and weaknesses of alternative electoral systems according to democratic criteria. ﾣ 15.00 ISBN 873311 52 4 Democratic Audit Paper No.15 Stability and Choice "
"tc374","dg338",2,2,933524,"  <The new year passed with much cheering and the revellers went back inside to party , completely forgetting about the lone sculler .>"
"tc374","dg338",1,1,1302270,"  <Under a discussion on party funding and Labour 's submission to the Hayden Phillips inquiry , Jack Dromey said it was essential that this was a party process , separating the federated structure of the party , which should not be in question , from the funding issue .>"
"tc374","dg338",1,1,2082235,"  <We have to promote more consistent , creative and constructive dialogue between government ministers and all parts of our party and the Partnership in Power process will play a very important part in this process .>"
"tc374","dg338",3,3,2439517,"  <Refers to your legal liability to pay the compensation and costs awarded against you in respect of loss or damage sustained by a third party .>"
"tc374","dg338",1,1,2460596,"  <He is also the Green Party 's national spokesperson on planning and economic development and often represents the party in national media debates among young party political activists .>"
"tc374","dg338",3,3,2770766,"  <They had a major working party that looked into plagiarism .>"
"tc374","dg338",3,3,2791751,"  <Failure to comply and unfair dismissal claims If the parties fail to comply with the statutory procedure then any failure will be attributed to the party who is at fault .>"
"tc374","dg338",3,3,3025158,"  <Persons in the party wishing to become members of the club must do so prior to the booked period .>"
"tc374","dg338",1,1,3084771,"  <The percentage of workers in the party stood at 60.2 per cent in 1917 , but had decreased to 41 per cent in 1921 , rising after a large-scale purge to 45 per cent in 1922 .>"
"tc374","dg338",3,3,3479256,"  <You agree that , if the registration or reservation of your domain name is challenged by a third party , you will be subject to the provisions specified by the Registry or any court of law .>"
"tc374","dg338",3,3,4041785,"  <Funnily enough as we mounted the escalator the security men added an extra member to our party .>"
"tc374","dg338",3,3,4488324,"  <Some of the party took the opportunity to arrive earlier or stay an extra day .>"
"tc374","dg338",3,3,4668496,"  <Haymarket and its third party suppliers use reasonable care and skill in producing and compiling the content of the Site but do not represent or warrant the accuracy , suitability of use , completeness or interpretation of any information on the Site or that it is up-to-date and do not accept liability for any errors or omissions whatsoever .>"
"tc374","dg338",2,2,5607378,"  <He left the Navy at 19 after a disagreement with a commanding officer and lived in Jersey where he gained a reputation as a bit of a party animal .>"
"tc374","dg338",2,2,5842086,"  <He could n't even come to my grandson 's birthday party , last month , my wife went there .>"
"tc374","dg338",1,1,6473231,"  <Today , multiculturalist dogma has been accepted wholesale by almost every political party , from the far left and New Labour to the BNP .>"
"tc374","dg338",1,1,7096644,"  <The polls are moving back in our favour as leaked emails from Cameron 's PPS tell us that the Tories are not happy with the way that he is running the party .>"
"tc374","dg338",2,2,7234511,"  <Except with the Booker , there 's a big party at the end , and you get to set the literary agenda .>"
"tc374","dg338",3,3,8405400,"  <"" This may give the right to decompile but there are a number of reasons why it may not be sufficient for third party maintainers .>"
"tc374","dg338",1,1,8809432,"  <Reforming the law on corporate manslaughter has been a Labour party manifesto commitment since 1997 but despite publication of a discussion paper in May 2000 , the draft bill has only just emerged from the Home Office .>"
"tc374","dg338",3,3,8854236,"  <Do consultees support the view that only intermediaries who have created a risk position to facilitate the trade of a third party should benefit from deferred publication or should all trades which are above the block size be eligible for deferred publication ?>"
"tc374","dg338",3,3,8939721,"  <The Committee agreed that a working party , including the Dean and the Directors of Finance and Human Resources , should examine the financial implications of the new contracts .>"
"klh58","tc374",3,2,9031222,"  <The party parent/carer must remain on site during the party .>"
"klh58","tc374",1,1,9205022,"  <It 's the Labour Conservative party .>"
"klh58","tc374",1,1,9676701,"  <We may compare the tension which existed in the British Labour Party before Kinnockism between traditions of pluralism originating in the party 's roots and its close connection with the trade unions , the practical control of the party 's public policy and practice by the trade union tops and elected representatives , and the policy of bans and proscriptions starting in 1918 .>"
"klh58","tc374",1,1,10696635,"  <Why a non-unionised voter chooses to vote for one party and not the other is difficult to ascertain and the reasons are likely to differ greatly from one voter to the next .>"
"klh58","tc374",1,1,11282552,"  <The Faithworks site has downloadable videos of the lectures that were recently given to church audiences by the three main party leaders .>"
"klh58","tc374",2,2,11341909,"  <When I was young she used to come to stay when we had a party and work away with mother in the kitchen with great energy and enthusiasm .>"
"klh58","tc374",2,2,11434323,"  <Following the annual Playford Ball is the obligatory punt party to Granchester Meadows , Sunday 18th June 2006 .>"
"klh58","tc374",2,2,11927835,"  <Nightlife great for party goers .>"
"klh58","tc374",2,2,12887097,"  <For a different kind of activity party , Be My Bear allows children to stuff and dress their own teddies to take home afterwards .>"
"klh58","tc374",3,3,13340706,"  <The information you provide is not and will not be given to any third party .>"
"klh58","tc374",1,1,14557473,"  <Aware of the desire of the ruling party of Sadducees , and of many among the Pharisees , to have him killed , Jesus gave them an opportunity to carry out their intention , when , in accordance with a prophecy in the book of Zechariah , he entered Jerusalem on a donkey .>"
"klh58","tc374",2,2,15184366,"  <"" ' ' The whole experience is amazing ; the ethos is really encouraged here and I 'd say the massive amount of hard work that went into planning and organising the SOUP Christmas party and the fantastic end product was definitely a highlight .>"
"klh58","tc374",3,3,16767513,"  <( d ) Because there is no definite list of frustrating events , and since the doctrine has developed on a case-by-case basis , it is not always possible for a party to know whether an event would be considered by the court to be a frustrating event !>"
"klh58","tc374",1,1,16892524,"  <It concludes that the Tory party urgently needs to formulate convincing policies that will appeal to the female electorate if they are to recover electorally .>"
"klh58","tc374",1,1,18527466,"  <In his first day as Tory leader , David Cameron told Tony Blair his party would support the government on educational reforms .>"
"klh58","tc374",3,3,19024060,"  <In this regard , the Member must not , without limitation , communicate , disseminate , share or make accessible , in any way , his/her passwords and/or IDs to any third party ; To ensure that the personal data of his/her entourage is communicated legally and without risk of harm .>"
"klh58","tc374",2,2,19606907,"  <) The wind-down party After the hot topics panel ( which I forgot to make notes on !>"
"klh58","tc374",1,1,20109250,"  <Edgar was proclaimed King in England by William 's opposition party , but this was not to last as Edgar apparently lacked the courage required to lead , he not being a fighting man , it also appears he was not very bright mentally .>"
"klh58","tc374",1,1,20425051,"  <This means an SA committed to campaigning for a democratic republic and for a mass republican socialist party , along the lines of the Scottish Socialist Party .>"
"klh58","tc374",1,1,20427033,"  <She concludes that the system of government is seriously flawed , �leading to increasingly poor policy initiatives being rammed through parliament , which is straining and abusing party loyalty and undermining the people 's respect for our political system� ( cover ) .>"
"klh58","tc374",1,1,20741667,"  <He told the Holyrood group their meeting was "" the first of several key events which will prepare the party for next year 's election .>"
"klh58","tc374",2,2,20878280,"  <At the Foundation 's New Year party , which was held in a Wichita hotel and featured a live orchestra and a floor show , he was the life and soul of the festivities .>"
"klh58","tc374",3,3,22215308,"  <God is Judge and offended party ; we 're in the dock on a charge of rebellion .>"
"klh58","tc374",1,1,22548384,"  <Twenty-seven sided with Parnell and forty-four sided with the party 's vice-chairman Justin McCarthy .>"
"klh58","tc374",1,1,23973040,"  <"" But we decided we were simply unprepared to share a platform with a racist candidate representing and extreme right-wing party .>"
"akm66","klh58",1,1,24342788,"  <The Campaign Group of MPs has restricted itself to calling for the election to be delayed until party conference at the beginning of October .>"
"akm66","klh58",1,1,24467837,"  <The campaigners acknowledged the Conservative party 's highlighting of development in the publication of their mini-manifesto "" Action on Global Poverty "" .>"
"akm66","klh58",3,3,26332337,"  <Should you recover any costs against a third party in respect of such legal action or be insured in respect of such costs and recover the same via insurers any costs actually incurred by us for which you are given assistance shall be recoverable from any costs recovered by you .>"
"akm66","klh58",2,2,26594024,"  <e ) MRC Christmas party , Saturday , Dec 10 , start 7 .>"
"akm66","klh58",1,1,27461220,"  <Lawrence is on much surer ground when he discusses the exclusionary practices of party politics .>"
"akm66","klh58",3,3,28329868,"  <Many owners have developed a fun little game with their parrots in this way - each party whistles a little tune which is then repeated or extended by the other .>"
"akm66","klh58",1,1,28581946,"  <Members who owe their election to the patronage of the leadership are unlikely to speak out against it , nor confront the institutional racism within the party .>"
"akm66","klh58",3,3,29039749,"  <This paper is the second of a series of papers to be produced by the Technical Reserves working party ( report No. 1 covered IBNR reserves ) .>"
"akm66","klh58",2,2,29314435,"  <If you 've booked direct with us , chances are you 'll book the rest of your stag party weekend yourself too .>"
"akm66","klh58",3,3,29469513,"  <Please be aware that all of the products and services used by Faster Finance and those products and services used by any third party Faster Finance may introduce you to are to be subject to their own specific terms , conditions and disclaimers governing the use of the applicable products , services and agreements in question .>"
"akm66","klh58",2,2,29546340,"  <Several magazines , radio and TV features have also accompanied the UK release and a new single - a cover of Bob Seger 's classic ' Old Time Rock And Roll ' was released 13/12/04 just in time for the festive party season .>"
"akm66","klh58",2,2,29732643,"  <HOW TO PLAY THREE CARD POKER PAGES  three card poker free play holdem poker secret texas texas holdem poker site 3 card poker rule free online party poker free pacific poker poker game table chip marked poker set binions world poker tour strip poker and adult game bot party poker cheat party poker program Two minutes but start time of .>"
"akm66","klh58",2,2,30802170,"  <Place the balloon weights on the tables at your party .>"
"akm66","klh58",2,2,31569691,"  <It was PLASA time and it started on the Monday when Mondiale Publishing hosted an exclusive party at eagerly awaited Leicester Square superclub Home .>"
"akm66","klh58",3,3,31658338,"  <The campaign will not go live until the advertiser creative/3rd party tag is received .>"
"akm66","klh58",3,3,32121176,"  <Prepared by a joint working party representing local authorities and community organisations .>"
"akm66","klh58",3,3,32298606,"  <Much cheaper , all the functionality , three times the battery life , able to copy things BACK to the PC easily without needing 3rd party software , all leads+cables+cases included rather than having to be bought extra ... ... .>"
"akm66","klh58",1,1,33025404,"  <At conference , activists will always face the full weight of the party bureaucracy , the spin doctors and arm-twisters .>"
"akm66","klh58",1,1,33332165,"  <If there 's any comment in the press which they regard as insufficiently subservient to the party line , there 'll be a flood of letters , delegations , protests , threats to withdraw advertising , etc. The politicians of course are directly subjected to this , and they are also subjected to substantial financial penalties if they do n't go along .>"
"akm66","klh58",3,3,33571902,"  <Set up a working party to investigate and develop the new policy .>"
"akm66","klh58",1,1,33771959,"  <Caution and lack of radicalism has been justified by the need to re-establish Labour as a party of government and secure a second term , during which the benefits of recent prudence can be translated into tackling poverty and under-investment in public services .>"
"akm66","klh58",3,2,35447525,"  <Our package includes  A tour of the Aquarium with your very own party leader .>"
"akm66","klh58",1,1,35882133,"  <Lenin once said that whoever does not demand docuinents but takes somebody 's word in party controversies is a hopeless idiot .>"
"akm66","klh58",1,1,35882473,"  <On September 22 , the Political Bureau and the presidiumn of the C.C. C , transmitted to the entire party a special communication to the effect that the Opposition workers who were printing our preconference platform were presumably in communication with a counter-revolutionary conspirator .>"
"akm66","klh58",1,1,36126627,"  <In view of the dispersion of the movement in Russia , its primitive and localistic complexion , an all-Russian national party and newspaper had to be created immediately to infuse the labour movement with a socialist , political consciousness and unite it in a revolutionary struggle against Tsarism .>"
"sds72","akm66",3,3,36225849,"  <Take the Ra Nexus to New Figon , John seizes the map and travels ethereally to his temple - the rest of the party are a little annoyed .>"
"sds72","akm66",3,3,36869689,"  <A party of 18 flew to Moscow and then on to Uzbekistan where at one point they were no more than 100 miles from Afghanistan .>"
"sds72","akm66",2,2,37190725,"  <In loving memory of Ali , always the life and soul of any party .>"
"sds72","akm66",1,1,37645845,"  <- www.thewarpexperience.org/stonehenge The Party Party was born to dispel this misunderstanding , to take responsibility for and to heal that which is unhealthy in our culture , to promote all that is positive about "" the party , "" and how society benefits , and our essential human right and need to celebrate our lives .>"
"sds72","akm66",2,2,37738034,"  <We will provide you with a wide variety of music to suit all tastes and occasions , whether it be a wedding , anniversary , birthday party or any other special occasion , we can cater for it all .>"
